                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1364,                 4.2627,                 4.2292,                0.00398,                0.20666,                 0.0025,                0.00065,                 3.1189,                 8.1637,                 2.7697,                0.00016,                0.00016,                0.00016
                      2,                  3.086,                 4.1555,                 4.1597,                 0.0029,                0.21296,                0.00197,                0.00051,                 3.1138,                 8.1211,                 2.7594,             0.00029733,             0.00029733,             0.00029733
                      3,                 3.0895,                 3.9548,                 4.1091,                0.00287,                0.19595,                0.00222,                0.00056,                 3.1022,                 8.0946,                 2.7338,               0.000401,               0.000401,               0.000401
                      4,                 3.0482,                 3.7313,                 4.0095,                0.00428,                0.22712,                0.00473,                0.00116,                  3.089,                   8.01,                 2.7158,             0.00047101,             0.00047101,             0.00047101
                      5,                 3.0599,                 3.5095,                 3.8971,                0.01213,                0.28279,                0.01683,                0.00508,                 3.1456,                 8.0734,                 2.7965,             0.00050736,             0.00050736,             0.00050736
                      6,                  3.012,                 3.3364,                 3.7957,                0.00601,                0.04905,                0.00653,                0.00144,                 3.1344,                 7.7578,                 2.7814,               0.000505,               0.000505,               0.000505
                      7,                 2.9227,                 3.1831,                 3.6739,                0.01338,                 0.1052,                0.01876,                0.00728,                 2.9879,                 6.8081,                  2.657,               0.000505,               0.000505,               0.000505
                      8,                 2.7392,                 3.0098,                 3.5279,                 0.0247,                0.09656,                0.03369,                0.01583,                 2.6092,                 5.8964,                 2.3552,               0.000406,               0.000406,               0.000406
                      9,                 2.6707,                 2.9314,                  3.437,                0.33842,                0.03748,                0.03837,                0.01836,                 2.4125,                 5.5273,                 2.1946,               0.000307,               0.000307,               0.000307
                     10,                 2.5225,                  2.839,                 3.3152,                0.27628,                0.04623,                0.04554,                0.02231,                 2.1917,                 5.1586,                 2.1015,               0.000208,               0.000208,               0.000208
