                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.94,                 4.5653,                 4.2592,                      0,                      0,                      0,                      0,                 2.9638,                 9.1963,                 2.7736,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.0948,                 4.4755,                 4.2156,                      0,                      0,                      0,                      0,                 2.9637,                 9.1882,                 2.7736,             0.00012485,             0.00012485,             0.00012485
                      3,                 3.1232,                 4.3831,                 4.1827,                      0,                      0,                      0,                      0,                 2.9729,                 9.1948,                 2.7734,             0.00018416,             0.00018416,             0.00018416
                      4,                  3.184,                 4.2975,                 4.1533,                      0,                      0,                      0,                      0,                 2.9777,                 9.2005,                 2.7728,             0.00023792,             0.00023792,             0.00023792
                      5,                 2.9791,                 4.1678,                 4.1117,                      0,                      0,                      0,                      0,                 2.9721,                 9.1929,                 2.7713,             0.00028614,             0.00028614,             0.00028614
                      6,                 2.9345,                  4.045,                 4.0815,                      0,                      0,                      0,                      0,                 2.9805,                 9.2035,                  2.771,             0.00032882,             0.00032882,             0.00032882
                      7,                 2.9916,                 3.8364,                  4.045,                      0,                      0,                      0,                      0,                 2.9865,                 9.2045,                 2.7714,             0.00036595,             0.00036595,             0.00036595
                      8,                 2.8847,                 3.5791,                 3.9199,                      0,                      0,                      0,                      0,                 2.9936,                 9.2111,                 2.7732,             0.00039754,             0.00039754,             0.00039754
                      9,                  2.879,                 3.4266,                 3.8404,                      0,                      0,                      0,                      0,                 3.0278,                 9.2087,                  2.778,             0.00042358,             0.00042358,             0.00042358
                     10,                 2.7795,                 3.1771,                 3.7667,                      0,                      0,                      0,                      0,                 3.0165,                 9.1806,                 2.7675,             0.00044408,             0.00044408,             0.00044408
                     11,                 2.9011,                 2.9971,                 3.6717,                      0,                      0,                      0,                      0,                 2.9735,                  9.138,                 2.7438,             0.00045904,             0.00045904,             0.00045904
                     12,                 2.7732,                 2.6906,                 3.5725,                      0,                      0,                      0,                      0,                 2.9954,                 9.0574,                 2.7292,             0.00046845,             0.00046845,             0.00046845
                     13,                 2.5434,                 2.5996,                 3.4855,                      0,                      0,                      0,                      0,                 2.8851,                 8.8753,                 2.6622,             0.00047232,             0.00047232,             0.00047232
                     14,                 2.5362,                 2.5507,                 3.4451,                0.00118,                0.03935,                0.01084,                0.00108,                 2.6634,                 8.3064,                 2.5164,             0.00047064,             0.00047064,             0.00047064
                     15,                 2.5531,                 2.4774,                 3.3665,                0.00227,                0.06019,                0.01108,                0.00111,                  2.777,                 8.0752,                 2.5272,              0.0004456,              0.0004456,              0.0004456
                     16,                 2.1553,                 2.5687,                 3.1524,                0.51443,                0.01852,                 0.0079,                0.00079,                 2.9649,                 8.0744,                 2.5663,              0.0004456,              0.0004456,              0.0004456
                     17,                  1.947,                 2.3857,                 2.9945,                0.00654,                0.03333,                0.00403,                0.00059,                 3.0102,                 8.0369,                 2.5681,               0.000406,               0.000406,               0.000406
                     18,                 1.9444,                 2.2535,                  2.927,                0.00629,                0.03333,                0.00435,                0.00062,                 3.0157,                 7.7842,                 2.5568,              0.0003664,              0.0003664,              0.0003664
                     19,                 1.8886,                 2.3692,                 2.9111,                0.00952,                0.03333,                0.02636,                0.00317,                 2.9954,                 7.8772,                 2.5119,              0.0003268,              0.0003268,              0.0003268
                     20,                 1.8683,                  2.143,                 2.9048,                 0.0172,                0.11667,                0.03414,                0.00747,                 2.9447,                 7.2853,                 2.5088,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.7603,                 2.1811,                 2.7514,                 0.0166,                0.14444,                0.03979,                0.00851,                 2.9058,                 6.9486,                 2.4589,              0.0002476,              0.0002476,              0.0002476
                     22,                 1.6881,                 2.1283,                 2.7738,                0.03303,                0.26389,                 0.0668,                0.01381,                 2.8358,                 6.3536,                 2.3504,               0.000208,               0.000208,               0.000208
                     23,                 1.6614,                 1.9827,                 2.6267,                 0.0937,                0.15833,                0.09823,                0.02117,                 2.6996,                 5.6863,                 2.2363,              0.0001684,              0.0001684,              0.0001684
                     24,                 1.6505,                 1.9385,                 2.7126,                0.30684,                0.14167,                0.17354,                0.05529,                 2.4019,                 5.0249,                 2.0812,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.6637,                 1.9451,                 2.6174,                0.28361,                0.14167,                0.17861,                0.06669,                 2.2648,                 4.7175,                 2.0006,               8.92e-05,               8.92e-05,               8.92e-05
